normalized,variants
prochlorperazine,"[""Prochlorperazine""]"
progesterone,"[""Progesterone""]"
progesterone topical,"[""Progesterone (topical)""]"
promazine,"[""Promazine""]"
promethazine,"[""Promethazine""]"
propiomazine,"[""Propiomazine""]"
pseudoephedrine,"[""Pseudoephedrine""]"
plantago seed,"[""Plantago seed""]"
quetiapine,"[""Quetiapine""]"
quinestrol,"[""Quinestrol""]"
remdesivir,"[""Remdesivir""]"
risperidone,"[""Risperidone""]"
ritodrine,"[""Ritodrine""]"
ritonavir,"[""Ritonavir""]"
salmeterol,"[""Salmeterol""]"
saquinavir,"[""Saquinavir""]"
sermorelin,"[""Sermorelin""]"
sirolimus,"[""Sirolimus""]"
somapacitan,"[""Somapacitan""]"
somatrem,"[""Somatrem""]"
somatotropin,"[""Somatotropin""]"
sparfloxacin,"[""Sparfloxacin""]"
tacrolimus,"[""Tacrolimus""]"
tagraxofusp,"[""Tagraxofusp""]"
temsirolimus,"[""Temsirolimus""]"
teprotumumab,"[""Teprotumumab""]"
terbutaline,"[""Terbutaline""]"
teriflunomide,"[""Teriflunomide""]"
tesamorelin,"[""Tesamorelin""]"
thiethylperazine,"[""Thiethylperazine""]"
tioguanine,"[""Tioguanine""]"
thioridazine,"[""Thioridazine""]"
thyroid porcine,"[""Thyroid, porcine""]"
thyrotropin alfa,"[""Thyrotropin alfa""]"
tipranavir,"[""Tipranavir""]"
torasemide,"[""Torasemide""]"
trabectedin,"[""Trabectedin""]"
triamcinolone ophthalmic,"[""Triamcinolone (ophthalmic)""]"
triamcinolone topical,"[""Triamcinolone (topical)""]"
trichlormethiazide,"[""Trichlormethiazide""]"
trifluoperazine,"[""Trifluoperazine""]"
triflupromazine,"[""Triflupromazine""]"
alimemazine,"[""Alimemazine""]"
triptorelin,"[""Triptorelin""]"
trovafloxacin,"[""Trovafloxacin""]"
turmeric,"[""Turmeric""]"
vorinostat,"[""Vorinostat""]"
warfarin,"[""Warfarin""]"
ziprasidone,"[""Ziprasidone""]"
lidocaine,"[""Lidocaine""]"
obeticholic acid,"[""Obeticholic acid""]"
